"","ID","Scanner","Layer","Raw_material","Class","Blank","Technology","Cortex","Preservation","Volume","Surface","Length","Width","Thickness","Core_classification","Site"
"675","CTC_1848","Artec.Micro","gic","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",14.46,48.33,9.199999809,2.5,1.200000048,NA,"Castelcivita"
"676","CTC_1849","Artec.Micro","gic","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",38.79,97.82,11.30000019,5,1.700000048,NA,"Castelcivita"
"677","CTC_1851","Artec.Micro","gic","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",25.86,76.77,11,3.200000048,1.299999952,NA,"Castelcivita"
"678","CTC_1870","Artec.Micro","gic","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",65.54,157.33,14.80000019,6.300000191,1.600000024,NA,"Castelcivita"
"679","CTC_1871","Artec.Micro","gic","Fine-grained chert","Core-Tool","Flake","Optimal","0%","Distal",2880.27,1372.67,16.60000038,26,25.5,"Carinated","Castelcivita"
"680","CTC_1888","Artec.Micro","gic","Fine-grained chert","Tool","Bladelet","Maintenance","0%","Proximal",478.94,578.49,35.29999924,8.899999619,3.099999905,NA,"Castelcivita"
"681","CTC_1889","Artec.Micro","gic","Fine-grained chert","Core","Flake","Semi-cortical","33-66%",NA,11902.92,3787.47,27.89999962,25.60000038,45.90000153,"Undetermined","Castelcivita"
"682","CTC_1899","Artec.Micro","gic","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",42.78,114.22,11.80000019,5.699999809,1.700000048,NA,"Castelcivita"
"683","CTC_19","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","33-66%",NA,16830.02,4291.91,42.90000153,46.09999847,26.70000076,"Multi-platform","Castelcivita"
"684","CTC_193","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",102.67,218.9,20.60000038,5.599999905,1.799999952,NA,"Castelcivita"
"685","CTC_194","Artec.Micro","rsa'","Coarse-grained chert","Tool","Bladelet","Optimal","0%","Complete",94.91,220.04,22.5,5,1.399999976,NA,"Castelcivita"
"686","CTC_195","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Maintenance","0%","Complete",685.21,779.58,37.5,11.39999962,3.900000095,NA,"Castelcivita"
"687","CTC_1950","Artec.Micro","rsa'","Radiolarite","Core-Tool","Other","Other","0%",NA,20888.17,4805.9,32,37.90000153,51.59999847,"Multi-platform carinated","Castelcivita"
"688","CTC_1954","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",134.28,287.31,26.79999924,5.599999905,1.700000048,NA,"Castelcivita"
"689","CTC_1961","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",43.89,114.75,13.80000019,5.099999905,1.299999952,NA,"Castelcivita"
"690","CTC_1963","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",41.3,94.49,10.39999962,4.599999905,1.700000048,NA,"Castelcivita"
"691","CTC_1965","Artec.Micro","rsa'","Fine-grained chert","Core","Other","Other","0%",NA,19019.43,4480.21,36.40000153,37.20000076,28.20000076,"Multidirectional","Castelcivita"
"692","CTC_1966","Artec.Micro","rsa'","Fine-grained chert","Core","Other","Other","0%",NA,12609.99,3474.1,28.89999962,45.70000076,19.70000076,"Wide-faced flat","Castelcivita"
"693","CTC_1967","Artec.Micro","rsa'","Fine-grained chert","Core","Other","Other","1-33%",NA,4383.73,1719.23,29.20000076,25.5,13.80000019,"Multi-platform","Castelcivita"
"694","CTC_2","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","0%",NA,7739.2,2531.28,42.20000076,25.70000076,15.89999962,"Semi-circumferential","Castelcivita"
"695","CTC_20","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","0%",NA,31984.67,6304.39,59.09999847,53.59999847,26.5,"Multi-platform","Castelcivita"
"696","CTC_21","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","33-66%",NA,5245.08,1990,25.10000038,33.40000153,15.5,"Wide-faced flat","Castelcivita"
"697","CTC_217","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",108.07,259.12,25.20000076,5.599999905,1.600000024,NA,"Castelcivita"
"698","CTC_218","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",45.79,141.23,18.70000076,4.400000095,1.399999976,NA,"Castelcivita"
"699","CTC_22","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","0%",NA,6255.48,2101.46,31.70000076,31.29999924,19.10000038,"Multi-platform","Castelcivita"
"700","CTC_220","Artec.Spider","rsa'","Fine-grained chert","Blank","Blade","Optimal","0%","Complete",1148.16,1109.05,43.2,16.60000038,3.900000095,NA,"Castelcivita"
"701","CTC_221","Artec.Spider","rsa'","Fine-grained chert","Blank","Blade","Maintenance","0%","Complete",7573.43,3239.3,62.40000153,26.70000076,9.600000381,NA,"Castelcivita"
"702","CTC_222","Artec.Spider","rsa'","Fine-grained chert","Tool","Blade","Semi-cortical","33-66%","Complete",4135.77,2518.69,64.19999695,23.60000038,7.099999905,NA,"Castelcivita"
"703","CTC_223","Artec.Spider","rsa'","Fine-grained chert","Tool","Blade","Maintenance","0%","Distal",2524.47,1697.41,NA,15.60000038,7.900000095,NA,"Castelcivita"
"704","CTC_23","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","0%",NA,5370.43,1998.88,32.90000153,22.60000038,20,"Semi-circumferential","Castelcivita"
"705","CTC_230","Artec.Spider","rsa'","Fine-grained chert","Tool","Blade","Maintenance","0%","Complete",1796.1,1465.86,58.5,12.10000038,7.400000095,NA,"Castelcivita"
"706","CTC_24","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","0%",NA,4084.39,1511.52,24,22.70000076,19.20000076,"Semi-circumferential","Castelcivita"
"707","CTC_25","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","33-66%",NA,14456.08,3912.9,35.59999847,42.40000153,33.79999924,"Multidirectional","Castelcivita"
"708","CTC_26","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","33-66%",NA,13011.77,3738.64,43.20000076,41.09999847,23.5,"Multi-platform","Castelcivita"
"709","CTC_27","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","0%",NA,5219.49,2046.89,35.20000076,21.79999924,18,"Multidirectional","Castelcivita"
"710","CTC_28","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","1-33%",NA,8754.26,2566.89,26.5,18.60000038,28.89999962,"Initial semi-circumferential","Castelcivita"
"711","CTC_29","Artec.Spider","rsa'","Quartzite","Core","Other","Other","1-33%",NA,4974.51,1798.71,23.70000076,18.20000076,26.5,"Narrow-sided","Castelcivita"
"712","CTC_290","Artec.Spider","rsa'","Fine-grained chert","Blank","Flake","Maintenance","33-66%","Complete",15341.9,4979.15,74,47.29999924,13.30000019,NA,"Castelcivita"
