ID,volume,surface,mesh
RF.b_6650,387.6907654,559.4625418,Yes
RF.b_6652,324.8052368,474.7356626,Yes
RF.b_6653,149.8477631,301.9246417,Yes
RF.b_6654,1315.322754,1143.041013,Yes
RF.b_6684,106.7044449,207.9325878,Yes
RF.b_6720,453.8378601,643.237815,Yes
RF.b_6725,43.35522461,109.7767583,Yes
RF.b_6726,1587.777344,1878.274339,Yes
RF.b_6735,113.8281784,234.5468281,Yes
RF.b_6838,934.8469238,954.8211682,Yes
RF.b_6849,86.68902588,193.7645738,Yes
RF.b_6853,1902.186035,2240.607997,Yes
RF.b_6857,228.4682465,374.1162212,Yes
RF.b_6863,3530.104492,2478.78477,Yes
RF.b_6881,2062.244385,1476.577779,Yes
RF.b_6882,160.7312469,319.0847638,Yes
RF.b_689,6541.250977,4439.37682,Yes
RF.b_691,603.1688232,789.8607978,Yes
RF.b_6914,1443.840576,1376.96713,Yes
RF.b_692,1582.52063,1456.026734,Yes
RF.b_6933,1418.733643,1027.151588,Yes
RF.b_6937,352.414093,661.0354367,Yes
RF.b_694,7066.271973,3176.417172,Yes
RF.b_695,3872.666016,3047.25408,Yes
RF.b_6975,6514.623535,2959.039694,Yes
RF.b_6988,311.037323,436.2483972,Yes
RF.b_700,3806.685059,2881.497368,Yes
RF.b_7055,2789.058105,2165.670983,Yes
RF.b_7056,1174.766113,965.8888937,Yes
RF.b_7063,715.3387451,725.391967,Yes
RF.b_707,87.68054962,199.1562152,Yes
RF.b_7077,156.8351288,333.7203265,Yes
RF.b_709,1068.190308,1059.95387,Yes
RF.b_710,1255.744995,1253.223481,Yes
RF.b_713,954.8458252,1140.238441,Yes
RF.b_7132,110.0057678,228.784694,Yes
RF.b_7133,218.4230804,387.4591341,Yes
RF.b_7134,142.9475098,282.6706121,Yes
RF.b_720,1128.78772,1300.820822,Yes
RF.b_7206,479.5484924,626.7763755,Yes
RF.b_722,1025.328491,1161.036746,Yes
RF.b_7232,167.9088898,365.651734,Yes
RF.b_724,13241.49609,5059.35811,Yes
RF.b_725,12313.39453,4887.87282,Yes
RF.b_7250,487.808136,543.6124189,Yes
RF.b_728,2510.884521,2245.183578,Yes
RF.b_7288,1206.373657,1238.38852,Yes
RF.b_729,1916.589478,1702.230804,Yes
RF.b_7295,7258.273438,4150.428879,Yes
RF.b_737,1538.484497,1457.57834,Yes
RF.b_738,703.7606812,923.7185478,Yes
RF.b_739,1359.172729,1315.753238,Yes
RF.b_7390,307.9954529,412.811068,Yes
RF.b_74,1130.701294,1068.076761,Yes
RF.b_7404,1369.10437,1119.630931,Yes
RF.b_742,624.2208252,829.0126244,Yes
RF.b_7458,208.6110077,344.9315669,Yes
RF.b_746,2745.046875,2084.050699,Yes
RF.b_747,2050.489746,1813.257363,Yes
RF.b_749,1347.473389,1245.623124,Yes
RF.b_7494,247.0908661,374.105901,Yes
RF.b_75,2969.373779,1765.681891,Yes
RF.b_752,1337.931519,1347.47276,Yes
RF.b_754,5027.641602,2949.338335,Yes
RF.b_7541,361.1422119,507.3291344,Yes
RF.b_755,2725.905762,2123.532548,Yes
RF.b_757,3965.759521,3000.342849,Yes
RF.b_7583,819.7833252,904.5461299,Yes
RF.b_760,1011.801697,1153.867145,Yes
RF.b_764,934.5281372,1303.896396,Yes
RF.b_7692,280.833252,395.9221036,Yes
RF.b_773,2972.07959,2350.504009,Yes
RF.b_774,4146.654785,2893.098147,Yes
RF.b_786,461.4984436,750.0982144,Yes
RF.b_793,19391.10742,6249.969255,Yes
RF.b_794,6480.874023,3134.623102,Yes
RF.b_796,4697.893555,2937.818592,Yes
RF.b_798,1477.928833,1829.581698,Yes
RF.b_80,14027.11621,6056.411776,Yes
RF.b_800,5619.096191,3109.475076,Yes
RF.b_801,1414.884155,1373.582944,Yes
RF.b_803,15153.08008,5243.759012,Yes
RF.b_8093,709.057373,744.279724,Yes
RF.b_8095,544.6853027,694.5828283,Yes
RF.b_81,4475.497559,2900.472645,Yes
RF.b_8111,293.9664917,387.0729511,Yes
RF.b_8115,7232.19043,3678.565694,Yes
RF.b_815,59.08388519,154.5538107,Yes
RF.b_82,3584.828125,2566.819936,Yes
RF.b_8257,6216.459961,3281.66264,Yes
RF.b_8258,181.3849945,317.2571456,Yes
RF.b_8259,217.9806824,360.5273967,Yes
RF.b_8260,71.91711426,172.0265624,Yes
RF.b_8261,113.5775833,249.1291854,Yes
RF.b_8262,672.8352051,768.1040895,Yes
RF.b_8264,643.5657959,580.6094736,Yes
RF.b_8265,123.0902786,294.812756,Yes
RF.b_8266,295.4961853,448.4424421,Yes
RF.b_8267,160.0457611,271.5909635,Yes
RF.b_8268,123.8649063,287.3230876,Yes
RF.b_8269,240.4234009,349.147687,Yes
RF.b_8270,336.7691345,552.1054742,Yes
RF.b_8271,254.6920319,399.29467,Yes
RF.b_8274,228.5121155,324.0235369,Yes
RF.b_8278,121.1334763,243.1846109,Yes
RF.b_8328,146.0764618,234.9924532,Yes
RF.b_8329,365.7852783,414.2768324,Yes
RF.b_8331,326.0463562,449.4142509,Yes
RF.b_8332,205.9869385,312.5468207,Yes
RF.b_8333,254.6791229,370.6575019,Yes
RF.b_8336,51.76542664,132.7822344,Yes
RF.b_8338,572.3867798,654.0090269,Yes
RF.b_8340,140.7511597,310.1303479,Yes
RF.b_8341,187.1495514,313.7219954,Yes
RF.b_8343,113.8665695,211.1568186,Yes
RF.b_8345,50.41834259,117.6186618,Yes
RF.b_8346,97.38152313,206.8694557,Yes
RF.b_8347,64.76212311,142.0532758,Yes
RF.b_8348,59.91556931,140.5957655,Yes
RF.b_842,5692.258789,4049.438046,Yes
RF.b_849,6197.886719,3367.061204,Yes
RF.b_911,375.0663452,513.3394015,Yes
RF.b_913,152.6520844,298.1747477,Yes
RF.b_914,260.1647644,417.8767207,Yes
RF.b_918,778.2178955,820.0668527,Yes
