ID,Scanner,Spit,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
Ca_85,Artec.Spider,AU13,Jasper,Tool,Flake,Semi-cortical,1-33%,Distal,1113.712891,905.9550306,30,21,5,NA
Ca_86,Artec.Spider,AU13,Chert,Tool,Flake,Optimal,0%,Complete,2044.727905,1289.796233,36.29999924,18.79999924,8.300000191,NA
Ca_87,Artec.Spider,AU13,Chert,Core-Tool,Blade,Initialization,1-33%,Complete,1796.777954,1087.594083,33.40000153,16,9.100000381,Carinated
Ca_88,Artec.Spider,AU13,Chert,Tool,Flake,Maintenance,0%,Complete,2770.401367,1515.311648,32.5,26.10000038,7.199999809,NA
Ca_89,Artec.Spider,AU13,Chert,Tool,Flake,Maintenance,1-33%,Complete,3930.506348,1847.227982,33.79999924,25.5,12,NA
Ca_90,Artec.Spider,AU13,Chert,Core-Tool,Flake,Maintenance,0%,Complete,4578.445801,2170.067023,32.09999847,36.09999847,8.899999619,Carinated
Ca_91,Artec.Spider,AU13,Jasper,Core-Tool,Other,Other,1-33%,Other,2770.045166,1310.629966,26.60000038,24.39999962,25.70000076,Carinated
Ca_92,Artec.Spider,AU13,Jasper,Core-Tool,Flake,Semi-cortical,1-33%,Complete,3370.820557,1562.188819,14.60000038,23.60000038,31.79999924,Carinated
Ca_93,Artec.Spider,AU13,Jasper,Tool,Flake,Optimal,0%,Distal,1218.949707,786.3988459,19.29999924,20.29999924,7.300000191,NA
Ca_94,Artec.Spider,AU13,Chert,Tool,Blade,Optimal,0%,Distal,1770.780518,987.0543512,25.39999962,19.39999962,8.100000381,NA
Ca_95,Artec.Spider,AU13,Chert,Tool,Flake,Optimal,0%,Complete,2406.792969,1319.931506,24,27,7.699999809,NA
Ca_96,Artec.Spider,AU13,Chert,Core-Tool,Flake,Optimal,0%,Distal,6850.352539,3051.35962,58.59999847,34.90000153,11.69999981,Carinated
Ca_97,Artec.Spider,AU13,Jasper,Tool,Flake,Optimal,0%,Undetermined,1420.619751,814.6321774,19.20000076,18.70000076,7.800000191,NA
Ca_98,Artec.Spider,AU13,Jasper,Tool,Flake,Semi-cortical,33-66%,Complete,1361.653076,750.415965,18,19,10.10000038,NA
Ca_99,Artec.Spider,AU13,Chert,Core-Tool,Flake,Optimal,0%,Distal,3356.623535,1505.855309,32,22.5,23.10000038,Carinated
Ca_100,Artec.Spider,AU13,Chert,Core-Tool,Flake,Semi-cortical,33-66%,Distal,2292.187012,1163.54773,12.19999981,13.89999962,31.89999962,Carinated
Ca_101,Artec.Spider,AU13,Jasper,Core-Tool,Other,Other,33-66%,Other,17814.63867,4288.024057,22.29999924,28.89999962,49.40000153,Carinated
Ca_102,Artec.Spider,AU13,Jasper,Tool,Flake,Initialization,66-99%,Undetermined,4115.401855,2174.722963,44,28.20000076,9.199999809,NA
Ca_103,Artec.Spider,AU13,Jasper,Core-Tool,Blade,Initialization,66-99%,Complete,4441.541504,1749.160948,38,18,14.19999981,Carinated
Ca_104,Artec.Spider,AU13,Jasper,Tool,Flake,Initialization,100%,Complete,3640.395508,1797.198846,34.70000076,30,7,NA
Ca_105,Artec.Spider,AU13,Jasper,Core-Tool,Flake,Optimal,0%,Undetermined,3287.499268,1443.781191,13,26.89999962,29.89999962,Multi-platform
Ca_106,Artec.Spider,AU13,Chert,Core-Tool,Flake,Undetermined,0%,Undetermined,5497.486328,2066.367001,36.29999924,24.39999962,16.70000076,Carinated
Ca_107,Artec.Spider,AU13,Jasper,Tool,Flake,Maintenance,1-33%,Complete,3578.092041,1780.104523,40.09999847,23.20000076,11.30000019,NA
Ca_108,Artec.Spider,AU13,Chert,Core-Tool,Flake,Semi-cortical,33-66%,Proximal,2394.745361,1173.970343,23,21.29999924,11.89999962,Carinated
Ca_109,Artec.Spider,AU13,Chert,Core-Tool,Flake,Maintenance,0%,Complete,3093.022461,1362.903361,14.89999962,22,27.10000038,Carinated
Ca_110,Artec.Spider,AU13,Chert,Core-Tool,Flake,Semi-cortical,33-66%,Complete,8044.735352,2702.498396,22.89999962,31.39999962,36.20000076,Carinated
Ca_111,Artec.Spider,AU13,Chert,Core-Tool,Flake,Semi-cortical,1-33%,Complete,3830.302979,1587.900343,18.29999924,16.79999924,33.29999924,Carinated
Ca_112,Artec.Spider,AU13,Chert,Tool,Blade,Optimal,0%,Distal,1183.913696,985.9601933,23,19.79999924,5.599999905,NA
Ca_113,Artec.Spider,AU13,Chert,Core-Tool,Flake,Semi-cortical,1-33%,Complete,5914.833008,2346.041424,14.80000019,31.29999924,36.29999924,Carinated
Ca_114,Artec.Spider,AU13,Chert,Core-Tool,Flake,Optimal,0%,Complete,4891.769531,1816.321993,16.89999962,29.10000038,32,Carinated
Ca_115,Artec.Spider,AU13,Chert,Tool,Flake,Optimal,0%,Complete,1179.199463,843.5366547,21.10000038,17.39999962,7.300000191,NA
Ca_116,Artec.Spider,AU13,Chert,Core-Tool,Flake,Optimal,0%,Distal,1749.11084,957.3819413,13.5,17.39999962,10.5,Carinated
Ca_117,Artec.Spider,AU13,Chert,Core-Tool,Flake,Optimal,0%,Complete,2817.947754,1355.013326,13.39999962,26.60000038,26.5,Carinated
Ca_118,Artec.Spider,AU13,Quartzite,Core-Tool,Flake,Initialization,66-99%,Complete,6266.80127,2361.738662,16,25.39999962,43.70000076,Carinated
Ca_119,Artec.Spider,AU13,Chert,Core-Tool,Flake,Semi-cortical,33-66%,Complete,3821.184326,1882.647295,38.29999924,32,11.30000019,Carinated
Ca_120,Artec.Spider,AU12,Jasper,Core-Tool,Flake,Semi-cortical,1-33%,Complete,10488.13574,3454.80714,19.20000076,35.59999847,44.20000076,Carinated
Ca_121,Artec.Spider,AU12,Jasper,Tool,Flake,Semi-cortical,1-33%,Complete,4831.38916,2026.915602,39.20000076,25.79999924,13.30000019,NA
Ca_122,Artec.Spider,AU12,Jasper,Core-Tool,Flake,Semi-cortical,1-33%,Complete,3916.542236,1637.064058,26.20000076,31.70000076,14.39999962,Carinated
Ca_123,Artec.Spider,AU12,Jasper,Core-Tool,Flake,Initialization,66-99%,Complete,3051.615723,1492.007677,32.20000076,23.10000038,8.899999619,Carinated
Ca_124,Artec.Spider,AU12,Chert,Core-Tool,Flake,Optimal,0%,Complete,2352.356934,1087.392702,21.60000038,23.89999962,10.80000019,Carinated
Ca_125,Artec.Spider,AU12,Jasper,Tool,Flake,Optimal,0%,Complete,2697.156738,1393.222433,32.59999847,21.70000076,9.399999619,NA
Ca_126,Artec.Spider,AU12,Chert,Tool,Blade,Optimal,0%,Complete,2379.733154,1399.951345,39.59999847,18.89999962,7.599999905,NA
Ca_127,Artec.Spider,AU11,Chert,Core-Tool,Other,Other,33-66%,Other,14838.98242,3733.816524,24.89999962,39.59999847,22.29999924,Carinated
Ca_128,Artec.Spider,AU11,Jasper,Core-Tool,Other,Other,0%,Other,6393.182129,2138.37727,19.5,26.39999962,19.89999962,Carinated
Ca_129,Artec.Spider,AU11,Unknown,Tool,Flake,Optimal,0%,Undetermined,1716.905518,1019.048488,23.29999924,22.70000076,7.300000191,NA
Ca_130,Artec.Spider,AU11,Chert,Tool,Flake,Semi-cortical,1-33%,Complete,4973.791992,1789.535262,13.69999981,28.29999924,26.10000038,NA
Ca_131,Artec.Spider,AU11,Jasper,Tool,Flake,Maintenance,0%,Complete,2478.714111,1257.835597,28,22.79999924,8,NA
