ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
CTC_6,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Semi-circumferential,0%,Other,5449.3,2048.64,37.90000153,28.39999962,20.60000038,CTC_6.ply,1 unit = 1mm,541924,0.100176,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_60,Castelcivita,rsa',Fine-grained chert,Core,Undetermined,Other,Semi-circumferential,0%,Other,4788.02,1792.69,21.39999962,31.29999924,16.39999962,CTC_60.ply,1 unit = 1mm,469592,0.10095,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_61,Castelcivita,rsa',Fine-grained chert,Core-Tool,Flake,Maintenance,Carinated,0%,Undetermined,14613.78,4113.53,38.40000153,45.59999847,21.20000076,CTC_61.ply,1 unit = 1mm,500000,0.145632,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_62,Castelcivita,rsa',Fine-grained chert,Core-Tool,Flake,Maintenance,Carinated,0%,Complete,6839.12,2640,49.59999847,24.89999962,17.79999924,CTC_62.ply,1 unit = 1mm,499724,0.116252,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_63,Castelcivita,rsa',Fine-grained chert,Core-Tool,Blade,Initialization,Carinated,66-99%,Complete,10356.28,3639.48,60.90000153,26.10000038,12.60000038,CTC_63.ply,1 unit = 1mm,500000,0.131986,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_630,Castelcivita,rsa',Fine-grained chert,Blank,Blade,Optimal,NA,0%,Complete,2312.96,1977.46,60.90000153,18,4.699999809,CTC_630.ply,1 unit = 1mm,535614,0.095746,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_631,Castelcivita,rsa',Fine-grained chert,Blank,Blade,Maintenance,NA,1-33%,Complete,2604.92,1872.68,65,16.29999924,7.599999905,CTC_631.ply,1 unit = 1mm,300000,0.125768,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_632,Castelcivita,rsa',Fine-grained chert,Blank,Blade,Optimal,NA,0%,Complete,2383.08,1881.93,56,22.39999962,5.800000191,CTC_632.ply,1 unit = 1mm,300000,0.125897,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_633,Castelcivita,rsa',Quartzite,Blank,Blade,Optimal,NA,0%,Complete,2202.1,1547.23,50.79999924,17.29999924,7.5,CTC_633.ply,1 unit = 1mm,300000,0.111726,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_634,Castelcivita,rsa',Fine-grained chert,Blank,Blade,Optimal,NA,0%,Complete,3267.39,2124.08,57.5,20.20000076,8.399999619,CTC_634.ply,1 unit = 1mm,300000,0.134314,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_635,Castelcivita,rsa',Fine-grained chert,Blank,Blade,Maintenance,NA,1-33%,Complete,1633.33,1442.68,49.20000076,14.69999981,6,CTC_635.ply,1 unit = 1mm,300000,0.111119,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
