ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
Ca_332,Cala,AU13,Jasper,Core,Other,Other,Platform flake,33-66%,Other,35759.65625,6708.068897,44.59999847,49.70000076,52.09999847,Ca_332.ply,1 unit = 1mm,591668,0.170967,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_333,Cala,AU12,Jasper,Core,Other,Other,Multidirectional,0%,Other,15217.5498,4014.518449,31,36,23.5,Ca_333.ply,1 unit = 1mm,600000,0.130039,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_334,Cala,AU12,Chert,Core,Other,Other,Multidirectional,1-33%,Other,17264.77734,4463.125885,38.20000076,38.20000076,28.79999924,Ca_334.ply,1 unit = 1mm,600000,0.137533,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_335,Cala,AU11,Jasper,Core,Other,Other,Multidirectional,1-33%,Other,8405.554688,2441.172845,30,27,22.60000038,Ca_335.ply,1 unit = 1mm,600000,0.103259,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_336,Cala,AU12,Jasper,Core,Other,Other,Platform flake,33-66%,Other,11420.21777,3151.936173,31,29,22,Ca_336.ply,1 unit = 1mm,600000,0.111778,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_338,Cala,AU12,Chert,Core,Other,Other,Bipolar,33-66%,Other,6965.791504,2529.883393,38.5,32.5,12.60000038,Ca_338.ply,1 unit = 1mm,600000,0.104819,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_339,Cala,AU11,Siliceous limestone,Core,Other,Other,Bipolar,33-66%,Other,3784.645264,2053.618005,34.70000076,28.70000076,8.600000381,Ca_339.ply,1 unit = 1mm,537274,0.100583,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_34,Cala,AU12,Chert,Core-Tool,Other,Other,Carinated,33-66%,Other,4379.596191,1696.60126,13.80000019,23.39999962,31.89999962,Ca_34.ply,1 unit = 1mm,300000,0.120219,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_341,Cala,AU11,Chert,Core,Flake,Semi-cortical,Bipolar,1-33%,Complete,2235.781494,1202.765772,19,30,9.600000381,Ca_341.ply,1 unit = 1mm,309616,0.100802,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_342,Cala,AU11,Jasper,Core,Flake,Semi-cortical,Bipolar,1-33%,Undetermined,2335.856934,1370.911128,25.10000038,25.60000038,9.5,Ca_342.ply,1 unit = 1mm,364662,0.09583,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_345,Cala,AU11,Chert,Tool,Flake,Optimal,NA,0%,Complete,1459.15686,1051.94867,22.5,21,6.300000191,Ca_345.ply,1 unit = 1mm,262002,0.10251,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_348,Cala,AU11,Chert,Core,Other,Other,Bipolar,0%,Other,938.951355,658.3345923,24,10.5,7.800000191,Ca_348.ply,1 unit = 1mm,171380,0.096932,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_349,Cala,AU11,Jasper,Core,Other,Other,Bipolar,0%,Other,2741.130615,1344.476038,32.70000076,14.89999962,12.5,Ca_349.ply,1 unit = 1mm,350162,0.100456,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_35,Cala,AU12,Jasper,Core-Tool,Flake,Initialization,Carinated,66-99%,Complete,26491.27148,5656.688401,31.39999962,42.40000153,53.20000076,Ca_35.ply,1 unit = 1mm,600000,0.156049,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_350,Cala,AU11,Quartzite,Core,Other,Other,Bipolar,0%,Other,2194.633301,1224.484716,29.29999924,21,8,Ca_350.ply,1 unit = 1mm,298636,0.103546,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_353,Cala,AU10,Jasper,Core,Other,Other,Bipolar,0%,Other,1215.631836,834.4801316,21.60000038,17.70000076,10.5,Ca_353.ply,1 unit = 1mm,227154,0.094716,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_357,Cala,AU13,Jasper,Blank,Blade,Semi-cortical,NA,1-33%,Proximal,1542.03064,1023.046813,30.20000076,17.29999924,7.199999809,Ca_357.ply,1 unit = 1mm,250894,0.102634,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_358,Cala,AU13,Chert,Blank,Flake,Semi-cortical,NA,1-33%,Complete,1037.496582,907.2035093,27.29999924,18.29999924,4.699999809,Ca_358.ply,1 unit = 1mm,229542,0.102141,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_359,Cala,AU13,Chert,Blank,Flake,Semi-cortical,NA,1-33%,Complete,1427.53479,1108.978859,33,19,5.800000191,Ca_359.ply,1 unit = 1mm,300934,0.098982,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_36,Cala,AU12,Chert,Core-Tool,Flake,Optimal,Carinated,0%,Distal,4630.280273,1767.78051,22.10000038,39.29999924,29.39999962,Ca_36.ply,1 unit = 1mm,300000,0.122659,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_360,Cala,AU11,Jasper,Core-Tool,Flake,Semi-cortical,Burin core,1-33%,Mesial,13750.78223,4303.891408,54.90000153,18,39.70000076,Ca_360.ply,1 unit = 1mm,600000,0.135435,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
