"ID","Scanner","Layer","Raw_material","Class","Blank","Technology","Cortex","Preservation","Volume","Surface","Length","Width","Thickness","Core_classification"
"RB_1020","Artec.Spider","A1","Chert","Core","Other","Semi-cortical","1-33%","Other",5610.946777,2579.543817,29.6000003814697,38.5,13,"Platform flake"
"RB_1021","Artec.Spider","A1","Chert","Core","Other","Other","0%","Other",6394.330078,2210.593081,28.5,29.3999996185303,21.8999996185303,"Multi-platform"
"RB_1022","Artec.Spider","A1","Chert","Core","Other","Other","0%","Other",6891.458984,2326.080058,19.8999996185303,25,26.6000003814697,"Shatter laminar"
"RB_1023","Artec.Spider","A1","Chert","Core-Tool","Flake","Undetermined","0%","Undetermined",2360.431641,1075.956374,25.8999996185303,18.1000003814697,12.1999998092651,"Wide-faced flat"
"RB_1025","Artec.Spider","A1","Chert","Blank","Flake","Maintenance","33-66%","Complete",2984.404053,1687.825127,37.9000015258789,23.1000003814697,8.39999961853027,NA
"RB_1026","Artec.Spider","A1","Chert","Tool","Flake","Undetermined","0%","Undetermined",4329.47998,1729.962647,28.5,29.2999992370605,12.8000001907349,NA
"RB_1030","Artec.Spider","A1","Chert","Core","Other","Other","0%","Other",1071.243652,647.0567896,15.3999996185303,13.1000003814697,8.5,"Shatter laminar"
"RB_1033","Artec.Spider","A1","Chert","Core","Other","Semi-cortical","33-66%","Other",11996.9834,3302.371425,27.8999996185303,22.7000007629395,43.2999992370605,"Tested"
"RB_1034","Artec.Spider","A1","Chert","Tool","Flake","Semi-cortical","1-33%","Complete",2676.457031,1222.370463,27.2000007629395,20.7999992370605,9.80000019073486,NA
"RB_1040","Artec.Spider","A1","Chert","Core","Other","Initialization","66-99%","Other",3379.51709,1686.488151,19.7000007629395,43.9000015258789,12.1999998092651,"Initial laminar"
"RB_1045","Artec.Spider","A1","Chert","Tool","Flake","Semi-cortical","1-33%","Distal",1577.133057,869.1761042,15.6000003814697,25.2999992370605,10.1999998092651,NA
"RB_1046","Artec.Spider","A1","Chert","Core-Tool","Blade","Optimal","0%","Complete",2159.197998,1264.625208,38.9000015258789,14.8999996185303,6.90000009536743,"Burin core"
"RB_1047","Artec.Spider","A1","Jasper","Core","Other","Other","0%","Other",2779.836914,1337.461207,26.7999992370605,23.7999992370605,11.5,"Wide-faced flat"
"RB_1054","Artec.Spider","A1","Chert","Blank","Flake","Maintenance","0%","Complete",1229.981567,852.0408151,15.3000001907349,26,10.3000001907349,NA
"RB_1055","Artec.Spider","A1","Chert","Core","Other","Other","0%","Other",1026.000244,633.4166405,14.3999996185303,19.1000003814697,11.8999996185303,"Platform flake"
"RB_1060","Artec.Spider","A1","Chert","Core","Other","Semi-cortical","1-33%","Other",8875.226563,2777.204772,39.2999992370605,31,22.7999992370605,"Platform flake"
