ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
RB_570,Bombrini,A1,Chert,Core,Other,Other,Multi-platform,0%,Other,5063.742676,1723.347995,26.89999962,24.20000076,20.29999924,RB_570.ply,1 unit = 1mm,442628,0.101812,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_571,Bombrini,A1,Chert,Core,Other,Semi-cortical,Multi-platform,1-33%,Other,6642.842773,2412.795718,41.29999924,29.79999924,16,RB_571.ply,1 unit = 1mm,600000,0.102816,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_572,Bombrini,A1,Jasper,Core,Other,Other,Bipolar,0%,Other,621.2302246,453.1495582,19.5,9.699999809,8,RB_572.ply,1 unit = 1mm,117796,0.100984,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_573,Bombrini,A1,Chert,Core,Other,Semi-cortical,Wide-faced flat,33-66%,Other,2431.598633,1197.927949,25.79999924,24,8.300000191,RB_573.ply,1 unit = 1mm,299940,0.102841,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_575,Bombrini,A2,Chert,Core,Other,Other,Multidirectional,0%,Other,141999.2813,18350.94926,90,75.09999847,50.40000153,RB_575.ply,1 unit = 1mm,599390,0.282142,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_576,Bombrini,A2,Chert,Core,Other,Semi-cortical,Tested,33-66%,Other,58862.01563,9639.198891,49.40000153,51.79999924,49.79999924,RB_576.ply,1 unit = 1mm,600000,0.205031,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_577,Bombrini,A2,Chert,Core,Other,Other,Multidirectional,0%,Other,28674.16797,6110.597871,42,49.70000076,39.20000076,RB_577.ply,1 unit = 1mm,800000,0.139773,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_578,Bombrini,A2,Chert,Core,Other,Semi-cortical,Initial laminar,33-66%,Other,14202.96777,3599.123696,33.20000076,29.29999924,30.60000038,RB_578.ply,1 unit = 1mm,600000,0.123817,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_579,Bombrini,A2,Chert,Core-Tool,Flake,Initialization,Carinated,33-66%,Complete,25863.13477,5652.51691,32.70000076,44.20000076,59.90000153,RB_579.ply,1 unit = 1mm,600000,0.156031,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_580,Bombrini,A2,Chert,Core,Other,Other,Multidirectional,0%,Other,17549.87695,4207.537303,51.90000153,37.20000076,25.70000076,RB_580.ply,1 unit = 1mm,600000,0.133752,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
